,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1700019L03Rik,1700019L03Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,1,0,1,1,0,6,10,6,8,23,13
1700019N19Rik,1700019N19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1700020A23Rik,1700020A23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700020D05Rik,1700020D05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,3,5,19,13,13,17,12
1700020I14Rik,1700020I14Rik,3,13,10,14,23,31,0.0,1,1,2,8,16,48,62,57,56,113,124,778,1190,1160,1282,2092,1788
1700020L24Rik,1700020L24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1700020N01Rik,1700020N01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700020N18Rik,1700020N18Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1700021F05Rik,1700021F05Rik,0,0,0,6,4,4,0.0,0,0,0,0,2,11,11,11,19,46,52,102,158,152,198,385,382
1700021J08Rik,1700021J08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700021K19Rik,1700021K19Rik,0,1,1,1,4,1,0.0,0,0,0,0,0,6,8,11,12,25,21,84,100,91,118,177,162
1700021N21Rik,1700021N21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,7,8,6,9,23,15
1700022E09Rik,1700022E09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,10
1700022I11Rik,1700022I11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,2,2,6,1,5,4
1700022N22Rik,1700022N22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
1700023C21Rik,1700023C21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700023E05Rik,1700023E05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
1700023F06Rik,1700023F06Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,1,4,0,2,9,9,8,8,10,13,33,31
1700023H06Rik,1700023H06Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2,0,1,3,0,1,1,3,14,12
