Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Fam167a,0,0,0,0,0,0,1,0,2,2,5,3
Fam167b,0,0,0,0,0,0,0,0,1,1,0,0
Fam168a,10,5,4,12,29,15,438,566,628,733,2083,1797
Fam168b,0,0,5,3,14,5,187,260,255,267,576,499
Fam169a,11,16,13,22,32,23,947,1301,1249,1516,2622,2300
Fam169b,0,0,0,0,0,0,1,3,1,0,2,0
Fam170b,0,0,0,0,0,0,1,0,0,0,0,0
Fam171a1,0,0,0,2,5,0,9,19,15,15,67,60
Fam171a2,0,0,0,1,2,0,32,33,36,60,121,132
Fam171b,8,11,18,31,29,32,1176,1483,1461,1654,3645,3281
Fam172a,1,2,0,4,6,8,178,262,261,299,499,422
Fam173a,4,2,9,8,14,7,409,442,443,540,961,826
Fam173b,0,0,0,1,1,0,23,33,27,39,116,87
Fam174a,4,3,3,5,6,5,258,292,302,324,538,510
Fam174b,0,0,0,0,0,0,4,5,4,7,17,18
Fam175a,1,1,0,0,3,1,30,32,38,46,91,78
Fam175b,1,1,0,7,1,6,120,163,157,168,279,226
Fam178a,2,3,4,7,10,12,305,416,415,479,710,657
Fam178b,0,0,0,0,0,0,0,2,0,1,1,2
Fam179a,0,0,0,0,0,0,1,0,0,1,2,0
Fam179b,2,2,2,2,11,3,92,114,109,143,213,181
Fam181a,0,0,0,0,0,0,0,0,0,0,0,0
Fam183b,0,0,0,0,0,0,0,0,0,0,20,13
Fam184a,2,2,8,12,17,21,437,521,575,673,1880,1560
